doc_id,related_cluster,relevance_score
3605,20,0.7582809060675331
2130,20,0.7582809060675331
4062,20,0.7582808362925302
1507,20,0.7582808362925302
1980,20,0.7582807809251079
2800,20,0.758280739965276
1007,20,0.7582806845978558
3461,14,0.7582085700399854
2687,14,0.7582085700399854
2715,14,0.7582085700399854
2973,14,0.7582085700399854
2029,14,0.7582084941941971
3645,14,0.7582084593043361
2505,20,0.7581899293208669
3923,20,0.7581899293208669
1650,20,0.7581897776300891
3669,29,0.7581559610716958
3684,20,0.7581067730735498
3484,20,0.7581063650195741
2594,20,0.7581062338075775
1712,20,0.7581060123339876
3588,20,0.7581060123339876
1915,20,0.7581059160152004
3728,20,0.7581054874860449
1598,20,0.7580169446375379
1995,20,0.758016868795854
3116,20,0.7580157348957121
4137,12,0.7571309704545083
2774,1,0.7567314316330848
1309,9,0.7565711717701349
3859,29,0.7563850643331453
3236,9,0.7561227434022503
4036,3,0.7559452762391593
1897,25,0.7551133402999236
1244,9,0.7548412771109797
2924,9,0.7546566830970262
2544,12,0.7543758869453181
3693,3,0.7543475622136139
364,3,0.7542165585853838
4053,29,0.7539558563587265
2907,3,0.753917769933444
296,3,0.7533465150371398
1787,3,0.7524181419345163
1445,23,0.7523827038316102
3335,29,0.7518900373135843
883,29,0.7515251251990772
1600,28,0.7513501028844968
2198,29,0.7511819924059278
1560,6,0.7505799732580696
1832,6,0.7501063133178559
4091,23,0.7500068873881279
2290,29,0.7494968639023775
2917,25,0.749059284727042
3199,3,0.7487028048795038
3105,21,0.748682506451315
1362,28,0.7482656637846309
657,25,0.7477435484459681
2007,1,0.7470943136354838
4100,13,0.7469912010391845
3868,12,0.7469830805275334
3463,13,0.7445496068728099
2673,29,0.7440906033264629
797,28,0.7425843907315047
2575,29,0.741845829314055
4110,23,0.7409316229713084
2517,1,0.7397366074400548
1758,29,0.739393462826483
407,3,0.7391648784789998
2847,3,0.7384451400014578
3941,14,0.7365740434745227
354,3,0.736395708394448
480,3,0.7361287337517601
2541,29,0.7358752686626381
2325,9,0.7357596954333229
3986,29,0.7355993916417486
370,3,0.7348801645926047
212,3,0.7346525443409699
2049,9,0.7345293438539817
2942,25,0.7342774174316179
838,9,0.7341154751646078
1267,3,0.733925706168497
3584,9,0.7334458144487074
748,25,0.7331349338589214
2425,29,0.732535806608398
373,3,0.7315160279146636
2874,9,0.7313793685407951
1716,1,0.7296316436646544
3996,21,0.7289170404610256
1047,6,0.7287003798132413
3603,26,0.7284044369338748
1714,1,0.7280154052932414
3355,12,0.7279311436322595
320,28,0.7275191321893303
712,1,0.7274045892727133
2955,25,0.7272303222952144
1374,3,0.727022339985526
3723,29,0.7266136059198686
4174,19,0.7264479956770366
3878,12,0.726308309458508
176,3,0.7254956151183594
2514,29,0.725424738228479
2042,29,0.724967740934093
1577,25,0.7248546411330963
53,3,0.7233412703934023
2471,25,0.7222598197900623
2755,21,0.7222014998174076
536,3,0.7217379620218063
3498,25,0.7212672760959087
3276,29,0.7211576646506374
1781,6,0.7209732591266969
2975,25,0.7196606705526016
222,3,0.7187581028010368
4146,19,0.7179074706450851
2028,3,0.7178973832775546
4069,4,0.7178610275934844
2330,25,0.7177436195721575
126,9,0.7163211260997218
3077,28,0.7163117632198811
2032,25,0.7161260001920076
525,3,0.7158799084774788
2938,21,0.7158212266944846
4076,29,0.7158131316307104
4058,29,0.7157989387638571
397,3,0.7156216349108755
1036,3,0.7156046447342014
3991,12,0.7151242092824672
887,3,0.7144300890453268
109,6,0.7143202836746074
2729,9,0.7141893537306525
624,28,0.7141727871650159
2125,12,0.7131512031638099
1527,3,0.7130378913017338
1562,3,0.7127074688044026
381,3,0.7123429528113687
1024,3,0.7123207509619061
4086,6,0.7109328710863099
1436,3,0.7106326280743349
1321,29,0.7091480206618566
4020,13,0.7090453164458866
2866,29,0.7087407418021036
2060,3,0.7087255352842633
3865,16,0.7083247589711873
2557,9,0.7073016401769847
2789,29,0.7072980569547895
2023,5,0.706996420429461
1839,5,0.7067784733121787
1869,12,0.7064444937349758
1968,24,0.7063056030584622
428,3,0.7059444192358966
3359,29,0.7055830612542057
1547,3,0.7053604858679947
2090,9,0.7046835218028423
1121,1,0.7039716465273331
416,3,0.703948437307093
3322,21,0.7037045687504292
1696,6,0.7035307137764967
2185,26,0.7032902186665323
1011,23,0.7031474451302699
1916,3,0.7027886273542455
4032,12,0.7027588418757986
4030,16,0.7021144492024192
4024,29,0.7020998748029506
