doc_id,top_cluster,top_score
3212,7,0.7233916441911349
12280,30,0.7230378701743015
10678,37,0.722416064017535
206,34,0.7223400251593247
1271,7,0.7220623483948077
16,34,0.7219311424178488
308,7,0.7217776029957494
9566,13,0.7217745657007038
8998,11,0.721520998533439
10737,39,0.7213147822280583
812,35,0.72129483551771
9561,13,0.7210646249250883
3544,7,0.721059366243616
5570,33,0.7208583730394434
2671,33,0.7204927059046055
8887,11,0.7204313719401088
542,7,0.7202235230755539
11553,13,0.7196825355711385
8987,3,0.7193889231766631
4772,33,0.7191895002238992
6496,7,0.7191352478417327
6849,7,0.7189117674034591
2979,7,0.7188351667527247
5402,37,0.7186963874250138
7498,31,0.7186603902128986
6785,35,0.718601507973135
12257,31,0.7185734334750542
3105,37,0.7185555411203978
8677,13,0.7185452789994413
2874,33,0.7179979830830218
10747,37,0.7175030276190919
4659,33,0.7170268447864039
10294,13,0.7169977979692908
2520,33,0.7167080440857848
106,31,0.7166520198199188
7368,13,0.7165972552489053
2987,34,0.7165913730339688
6453,30,0.7163987192254921
10830,29,0.7159720597290379
1002,32,0.7154037531429117
10259,24,0.7150206011118015
9541,34,0.7150035121796422
6407,30,0.71462631733066
9590,7,0.7145176759463361
8810,9,0.7143360755722025
8670,13,0.7141942235526881
10240,29,0.7141030259125081
6576,39,0.7139032166093826
5533,33,0.7138007708907642
12185,17,0.7136718362919492
6129,30,0.71365980417492
3586,7,0.7135426344464044
6454,13,0.7133215693636183
8471,39,0.7125894245210361
7524,31,0.7124255933558418
13059,34,0.7124182968533574
826,7,0.7123834379469184
5906,7,0.7122811660353338
8568,13,0.7119106378100528
7649,13,0.7115834051748601
2176,39,0.7114287759138346
7174,39,0.7109502182187872
1773,7,0.7109257104723067
1451,33,0.7107710543461917
11589,31,0.7104211729575841
3380,39,0.7103784474969166
7293,31,0.7103126143309798
1106,32,0.7102720024047615
4358,7,0.710022917382887
6408,34,0.7097884126548035
965,39,0.709375589276121
8638,34,0.7090409467415232
3021,33,0.7089658495206199
8387,13,0.7089321150552175
6219,13,0.7088000836682513
2001,7,0.7085452204532298
8634,31,0.7083385515821731
7578,21,0.708112663664973
7128,7,0.7080454029185839
7345,13,0.7079209877759627
10317,13,0.7070457113549012
102,31,0.7067380489519527
5749,33,0.7065152040069268
10216,37,0.7061249950763724
12654,23,0.7059957883305034
9022,26,0.7059694795580388
9720,34,0.7057832563284193
10766,22,0.7056567705676589
12745,31,0.7052989262218197
8288,29,0.7047119189284539
12104,31,0.7046619819409354
9975,34,0.7043219783445388
10274,29,0.704303468517987
476,26,0.7042337425314078
10613,29,0.7042245507852024
6386,37,0.7038569004179247
6150,30,0.70371908424605
12049,12,0.7036922872234127
1782,17,0.7035411891558438
1297,27,0.7033504205087407
8953,26,0.7025596082104922
3363,39,0.7024275421817828
10206,29,0.7023087857575944
8675,13,0.7022399177538712
4089,11,0.7021549415791053
379,7,0.7021396752902588
2921,17,0.7020405713285788
3148,33,0.7019000111319081
7870,11,0.7018881990042651
11093,11,0.7014833781730174
9018,13,0.7014490938347271
10559,35,0.7013592127812586
2285,33,0.7010627376814014
10009,26,0.7008575826300614
306,37,0.7007760993122878
4668,33,0.700714726993103
9320,34,0.7005473919172034
12269,13,0.7000611437078271
10058,6,0.6999613893873872
7417,13,0.6999603713210804
2169,7,0.6997760642838152
9949,3,0.6994405008156332
3190,39,0.6992714103702747
4432,39,0.6990520992380856
6879,13,0.698948169719873
3573,7,0.6987302253390002
3243,33,0.6987047748370849
8025,10,0.6985375907217621
410,7,0.6981282612833533
3681,39,0.6979269808119944
4691,39,0.6976803156412313
4863,17,0.6974022543933861
11568,13,0.6973756927777067
5284,6,0.6970344238066569
4549,17,0.6967273575300906
2950,29,0.6964191190190943
13090,34,0.6962179468845063
10304,29,0.6961115314133743
10680,22,0.6959503685117809
10658,29,0.6956788783119244
10218,3,0.6955874547687622
10023,32,0.6950905940923194
10535,22,0.6950844316124437
3669,11,0.6949118895577913
6623,13,0.6946593388378643
9674,34,0.6946519538867311
